,Tipo_Crime,UF,ano,ocorrencias,estado_ibge,Sigla_UF,populacao,admitidos/desligados,total_desempregados,taxa_ocorrencia,taxa_desemprego
0,Roubo seguido de morte (latrocínio),Acre,2010,,12,AC,734447,Desligado,4722,,642.9327099164406
1,Roubo seguido de morte (latrocínio),Acre,2011,10.0,12,AC,748616,Desligado,4339,1.3357983265118565,579.6028938734945
2,Roubo seguido de morte (latrocínio),Acre,2012,10.0,12,AC,762631,Desligado,5692,1.311250132764076,746.363575569312
3,Roubo seguido de morte (latrocínio),Acre,2013,,12,AC,776463,Desligado,5908,,760.8862238123387
4,Roubo seguido de morte (latrocínio),Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
5,Roubo de veículo,Acre,2010,,12,AC,734447,Desligado,4722,,642.9327099164406
6,Roubo de veículo,Acre,2011,,12,AC,748616,Desligado,4339,,579.6028938734945
7,Roubo de veículo,Acre,2012,,12,AC,762631,Desligado,5692,,746.363575569312
8,Roubo de veículo,Acre,2013,,12,AC,776463,Desligado,5908,,760.8862238123387
9,Roubo de veículo,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
10,Lesão corporal seguida de morte,Acre,2010,,12,AC,734447,Desligado,4722,,642.9327099164406
11,Lesão corporal seguida de morte,Acre,2011,,12,AC,748616,Desligado,4339,,579.6028938734945
12,Lesão corporal seguida de morte,Acre,2012,2.0,12,AC,762631,Desligado,5692,0.2622500265528152,746.363575569312
13,Lesão corporal seguida de morte,Acre,2013,,12,AC,776463,Desligado,5908,,760.8862238123387
14,Lesão corporal seguida de morte,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
15,Homicídio doloso,Acre,2010,,12,AC,734447,Desligado,4722,,642.9327099164406
16,Homicídio doloso,Acre,2011,151.0,12,AC,748616,Desligado,4339,20.170554730329034,579.6028938734945
17,Homicídio doloso,Acre,2012,173.0,12,AC,762631,Desligado,5692,22.684627296818515,746.363575569312
18,Homicídio doloso,Acre,2013,,12,AC,776463,Desligado,5908,,760.8862238123387
19,Homicídio doloso,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
20,Furto de veículo,Acre,2010,,12,AC,734447,Desligado,4722,,642.9327099164406
21,Furto de veículo,Acre,2011,16.0,12,AC,748616,Desligado,4339,2.1372773224189703,579.6028938734945
22,Furto de veículo,Acre,2012,,12,AC,762631,Desligado,5692,,746.363575569312
23,Furto de veículo,Acre,2013,,12,AC,776463,Desligado,5908,,760.8862238123387
24,Furto de veículo,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
25,Estupro,Acre,2010,,12,AC,734447,Desligado,4722,,642.9327099164406
26,Estupro,Acre,2011,1.0,12,AC,748616,Desligado,4339,0.13357983265118564,579.6028938734945
27,Estupro,Acre,2012,2.0,12,AC,762631,Desligado,5692,0.2622500265528152,746.363575569312
28,Estupro,Acre,2013,,12,AC,776463,Desligado,5908,,760.8862238123387
29,Estupro,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
30,Roubo seguido de morte (latrocínio),Alagoas,2010,32.0,27,AL,3231840,Desligado,15844,0.9901480271300559,490.247041932769
31,Roubo seguido de morte (latrocínio),Alagoas,2011,36.0,27,AL,3256280,Desligado,16962,1.1055560332649528,520.9011510066701
32,Roubo seguido de morte (latrocínio),Alagoas,2012,87.0,27,AL,3279290,Desligado,15115,2.653013304709251,460.92294368598084
33,Roubo seguido de morte (latrocínio),Alagoas,2013,68.0,27,AL,3300940,Desligado,16005,2.0600192672390287,484.86188782589204
34,Roubo seguido de morte (latrocínio),Alagoas,2014,55.0,27,AL,3321300,Desligado,13994,1.6559780808719478,421.3410411585825
35,Roubo de veículo,Alagoas,2010,1130.0,27,AL,3231840,Desligado,15844,34.9646022080301,490.247041932769
36,Roubo de veículo,Alagoas,2011,1647.0,27,AL,3256280,Desligado,16962,50.579188521871586,520.9011510066701
37,Roubo de veículo,Alagoas,2012,2366.0,27,AL,3279290,Desligado,15115,72.14976412577113,460.92294368598084
38,Roubo de veículo,Alagoas,2013,2636.0,27,AL,3300940,Desligado,16005,79.85604100650119,484.86188782589204
39,Roubo de veículo,Alagoas,2014,3038.0,27,AL,3321300,Desligado,13994,91.47020744889049,421.3410411585825
40,Lesão corporal seguida de morte,Alagoas,2010,18.0,27,AL,3231840,Desligado,15844,0.5569582652606565,490.247041932769
41,Lesão corporal seguida de morte,Alagoas,2011,21.0,27,AL,3256280,Desligado,16962,0.6449076860712224,520.9011510066701
42,Lesão corporal seguida de morte,Alagoas,2012,25.0,27,AL,3279290,Desligado,15115,0.762360145031394,460.92294368598084
