Região;Sigla_UF;UF;Código_IBGE_Município;Município;Tipo_Crime;Mês;Mês_Ano;PC-Qtde_Ocorrências
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;01;01/2010;6
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;02;02/2010;6
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;03;03/2010;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;04;04/2010;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;05;05/2010;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;06;06/2010;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;07;07/2010;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;08;08/2010;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;09;09/2010;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;10;10/2010;6
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;11;11/2010;7
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;12;12/2010;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;01;01/2010;203
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;02;02/2010;159
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;03;03/2010;215
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;04;04/2010;180
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;05;05/2010;142
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;06;06/2010;125
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;07;07/2010;194
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;08;08/2010;163
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;09;09/2010;138
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;10;10/2010;151
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;11;11/2010;124
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;12;12/2010;113
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;01;01/2010;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;02;02/2010;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;03;03/2010;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;04;04/2010;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;05;05/2010;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;06;06/2010;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;07;07/2010;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;08;08/2010;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;09;09/2010;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;10;10/2010;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;11;11/2010;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;12;12/2010;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Lesão corporal seguida de morte;04;04/2010;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Lesão corporal seguida de morte;06;06/2010;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Lesão corporal seguida de morte;07;07/2010;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Lesão corporal seguida de morte;08;08/2010;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Lesão corporal seguida de morte;09;09/2010;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Lesão corporal seguida de morte;10;10/2010;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Lesão corporal seguida de morte;11;11/2010;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Lesão corporal seguida de morte;12;12/2010;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;01;01/2010;19
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;02;02/2010;14
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;03;03/2010;21
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;04;04/2010;14
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;05;05/2010;21
