,Tipo_Crime,UF,ano,ocorrencias,estado_ibge,Sigla_UF,populacao,admitidos/desligados,total_desempregados,taxa_ocorrencia,taxa_desemprego
4,Crime contra a vida,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
9,Crime contra o patrimônio,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
14,Crime contra a vida,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
19,Crime contra a vida,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
24,Crime contra o patrimônio,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
29,Crime contra a vida,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
34,Crime contra a vida,Alagoas,2014,55.0,27,AL,3321300,Desligado,13994,1.6559780808719478,421.3410411585825
39,Crime contra o patrimônio,Alagoas,2014,3038.0,27,AL,3321300,Desligado,13994,91.47020744889049,421.3410411585825
44,Crime contra a vida,Alagoas,2014,13.0,27,AL,3321300,Desligado,13994,0.3914130009333695,421.3410411585825
49,Crime contra a vida,Alagoas,2014,1904.0,27,AL,3321300,Desligado,13994,57.32695029054888,421.3410411585825
54,Crime contra o patrimônio,Alagoas,2014,666.0,27,AL,3321300,Desligado,13994,20.052389124740312,421.3410411585825
59,Crime contra a vida,Alagoas,2014,441.0,27,AL,3321300,Desligado,13994,13.277933339355071,421.3410411585825
64,Crime contra a vida,Amazonas,2014,50.0,16,AM,3873740,Desligado,3976,1.290742280070423,102.63982611120002
69,Crime contra o patrimônio,Amazonas,2014,2766.0,16,AM,3873740,Desligado,3976,71.40386293349579,102.63982611120002
74,Crime contra a vida,Amazonas,2014,18.0,16,AM,3873740,Desligado,3976,0.4646672208253523,102.63982611120002
79,Crime contra a vida,Amazonas,2014,1158.0,16,AM,3873740,Desligado,3976,29.893591206430994,102.63982611120002
84,Crime contra o patrimônio,Amazonas,2014,2001.0,16,AM,3873740,Desligado,3976,51.655506048418324,102.63982611120002
89,Crime contra a vida,Amazonas,2014,1047.0,16,AM,3873740,Desligado,3976,27.028143344674657,102.63982611120002
94,Crime contra a vida,Amapá,2014,9.0,13,AP,750912,Desligado,25788,1.1985425722321656,3434.2239836358985
99,Crime contra o patrimônio,Amapá,2014,258.0,13,AP,750912,Desligado,25788,34.35822040398875,3434.2239836358985
