,Tipo_Crime,UF,ano,ocorrencias,estado_ibge,Sigla_UF,populacao,admitidos/desligados,total_desempregados,taxa_ocorrencia,taxa_desemprego
4,Roubo seguido de morte (latrocínio),Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
9,Roubo de veículo,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
14,Lesão corporal seguida de morte,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
19,Homicídio doloso,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
24,Furto de veículo,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
29,Estupro,Acre,2014,,12,AC,790101,Desligado,7317,,926.0841335474832
34,Roubo seguido de morte (latrocínio),Alagoas,2014,55.0,27,AL,3321300,Desligado,13994,1.6559780808719478,421.3410411585825
39,Roubo de veículo,Alagoas,2014,3038.0,27,AL,3321300,Desligado,13994,91.47020744889049,421.3410411585825
44,Lesão corporal seguida de morte,Alagoas,2014,13.0,27,AL,3321300,Desligado,13994,0.3914130009333695,421.3410411585825
49,Homicídio doloso,Alagoas,2014,1904.0,27,AL,3321300,Desligado,13994,57.32695029054888,421.3410411585825
54,Furto de veículo,Alagoas,2014,666.0,27,AL,3321300,Desligado,13994,20.052389124740312,421.3410411585825
59,Estupro,Alagoas,2014,441.0,27,AL,3321300,Desligado,13994,13.277933339355071,421.3410411585825
64,Roubo seguido de morte (latrocínio),Amazonas,2014,50.0,16,AM,3873740,Desligado,3976,1.290742280070423,102.63982611120002
69,Roubo de veículo,Amazonas,2014,2766.0,16,AM,3873740,Desligado,3976,71.40386293349579,102.63982611120002
74,Lesão corporal seguida de morte,Amazonas,2014,18.0,16,AM,3873740,Desligado,3976,0.4646672208253523,102.63982611120002
79,Homicídio doloso,Amazonas,2014,1158.0,16,AM,3873740,Desligado,3976,29.893591206430994,102.63982611120002
84,Furto de veículo,Amazonas,2014,2001.0,16,AM,3873740,Desligado,3976,51.655506048418324,102.63982611120002
89,Estupro,Amazonas,2014,1047.0,16,AM,3873740,Desligado,3976,27.028143344674657,102.63982611120002
94,Roubo seguido de morte (latrocínio),Amapá,2014,9.0,13,AP,750912,Desligado,25788,1.1985425722321656,3434.2239836358985
99,Roubo de veículo,Amapá,2014,258.0,13,AP,750912,Desligado,25788,34.35822040398875,3434.2239836358985
104,Lesão corporal seguida de morte,Amapá,2014,1.0,13,AP,750912,Desligado,25788,0.13317139691468508,3434.2239836358985
109,Homicídio doloso,Amapá,2014,139.0,13,AP,750912,Desligado,25788,18.510824171141227,3434.2239836358985
114,Furto de veículo,Amapá,2014,645.0,13,AP,750912,Desligado,25788,85.89555100997188,3434.2239836358985
119,Estupro,Amapá,2014,343.0,13,AP,750912,Desligado,25788,45.67778914173698,3434.2239836358985
124,Roubo seguido de morte (latrocínio),Bahia,2014,191.0,29,BA,15126400,Desligado,56224,1.2626930399830758,371.69452083774064
129,Roubo de veículo,Bahia,2014,14445.0,29,BA,15126400,Desligado,56224,95.49529299767295,371.69452083774064
134,Lesão corporal seguida de morte,Bahia,2014,125.0,29,BA,15126400,Desligado,56224,0.8263697905648404,371.69452083774064
139,Homicídio doloso,Bahia,2014,5467.0,29,BA,15126400,Desligado,56224,36.14210916014385,371.69452083774064
144,Furto de veículo,Bahia,2014,5432.0,29,BA,15126400,Desligado,56224,35.9107256187857,371.69452083774064
149,Estupro,Bahia,2014,924.0,29,BA,15126400,Desligado,56224,6.1085254918553,371.69452083774064
154,Roubo seguido de morte (latrocínio),Ceará,2014,74.0,23,CE,8843550,Desligado,20918,0.8367680399839431,236.53397108627192
159,Roubo de veículo,Ceará,2014,,23,CE,8843550,Desligado,20918,,236.53397108627192
164,Lesão corporal seguida de morte,Ceará,2014,66.0,23,CE,8843550,Desligado,20918,0.7463066302559493,236.53397108627192
169,Homicídio doloso,Ceará,2014,4135.0,23,CE,8843550,Desligado,20918,46.75724115315682,236.53397108627192
174,Furto de veículo,Ceará,2014,,23,CE,8843550,Desligado,20918,,236.53397108627192
179,Estupro,Ceará,2014,1561.0,23,CE,8843550,Desligado,20918,17.6512825731748,236.53397108627192
184,Roubo seguido de morte (latrocínio),Distrito Federal,2014,45.0,53,DF,2852370,Desligado,39366,1.5776354400025243,1380.1154829142083
189,Roubo de veículo,Distrito Federal,2014,7110.0,53,DF,2852370,Desligado,39366,249.26639952039883,1380.1154829142083
194,Lesão corporal seguida de morte,Distrito Federal,2014,3.0,53,DF,2852370,Desligado,39366,0.10517569600016828,1380.1154829142083
199,Homicídio doloso,Distrito Federal,2014,682.0,53,DF,2852370,Desligado,39366,23.90994155737159,1380.1154829142083
204,Furto de veículo,Distrito Federal,2014,8344.0,53,DF,2852370,Desligado,39366,292.52866914180134,1380.1154829142083
209,Estupro,Distrito Federal,2014,775.0,53,DF,2852370,Desligado,39366,27.170388133376804,1380.1154829142083
214,Roubo seguido de morte (latrocínio),Espírito Santo,2014,50.0,32,ES,3885050,Desligado,12817,1.286984723491332,329.9056640197681
219,Roubo de veículo,Espírito Santo,2014,3336.0,32,ES,3885050,Desligado,12817,85.86762075134168,329.9056640197681
224,Lesão corporal seguida de morte,Espírito Santo,2014,25.0,32,ES,3885050,Desligado,12817,0.643492361745666,329.9056640197681
229,Homicídio doloso,Espírito Santo,2014,1529.0,32,ES,3885050,Desligado,12817,39.355992844364934,329.9056640197681
234,Furto de veículo,Espírito Santo,2014,3579.0,32,ES,3885050,Desligado,12817,92.12236650750955,329.9056640197681
239,Estupro,Espírito Santo,2014,374.0,32,ES,3885050,Desligado,12817,9.626645731715163,329.9056640197681
